bus_id,plate_num,capacity,status
B101,MH-12-AB-1001,60,Active
B102,MH-12-AB-1002,40,Active
B103,MH-12-AB-1003,40,Active
B104,MH-12-AB-1004,40,Active
B105,MH-12-AB-1005,60,Active
B106,MH-12-AB-1006,60,Maintenance
B107,MH-12-AB-1007,40,Active
B108,MH-12-AB-1008,40,Active
B109,MH-12-AB-1009,40,Active
B110,MH-12-AB-1010,60,Active
B111,MH-12-AB-1011,60,Maintenance
B112,MH-12-AB-1012,40,Maintenance
B113,MH-12-AB-1013,60,Active
B114,MH-12-AB-1014,40,Active
B115,MH-12-AB-1015,60,Maintenance
B116,MH-12-AB-1016,55,Active
B117,MH-12-AB-1017,40,Active
B118,MH-12-AB-1018,55,Active
B119,MH-12-AB-1019,40,Maintenance
B120,MH-12-AB-1020,40,Active
