payment_id,trip_id,passenger_id,amount,payment_method,payment_timestamp
PAY10001,T5095,P1040,25.0,SmartCard,2026-08-20 08:41:00
PAY10002,T5040,P1021,50.0,SmartCard,2026-08-20 06:53:00
PAY10003,T5021,P1035,30.0,ContactlessCredit,2026-08-20 17:30:00
PAY10004,T5156,P1057,30.0,Cash,2026-08-20 14:17:00
PAY10005,T5194,P1066,10.0,Cash,2026-08-20 09:40:00
PAY10006,T5029,P1037,50.0,ContactlessCredit,2026-08-20 13:20:00
PAY10007,T5171,P1040,10.0,MobileApp,2026-08-20 14:59:00
PAY10008,T5154,P1008,10.0,MobileApp,2026-08-20 12:44:00
PAY10009,T5055,P1099,15.0,Cash,2026-08-20 11:08:00
PAY10010,T5084,P1016,10.0,ContactlessCredit,2026-08-20 10:56:00
PAY10011,T5045,P1017,30.0,MobileApp,2026-08-20 13:20:00
PAY10012,T5144,P1086,25.0,SmartCard,2026-08-20 14:32:00
PAY10013,T5190,P1006,30.0,SmartCard,2026-08-20 12:46:00
PAY10014,T5020,P1041,50.0,ContactlessCredit,2026-08-20 13:50:00
PAY10015,T5104,P1091,30.0,Cash,2026-08-20 15:47:00
PAY10016,T5104,P1003,25.0,MobileApp,2026-08-20 07:57:00
PAY10017,T5118,P1089,25.0,SmartCard,2026-08-20 16:32:00
PAY10018,T5028,P1032,30.0,ContactlessCredit,2026-08-20 13:27:00
PAY10019,T5021,P1051,25.0,Cash,2026-08-20 14:56:00
PAY10020,T5086,P1100,15.0,SmartCard,2026-08-20 09:46:00
PAY10021,T5163,P1015,50.0,MobileApp,2026-08-20 14:42:00
PAY10022,T5090,P1094,15.0,MobileApp,2026-08-20 11:57:00
PAY10023,T5038,P1033,15.0,MobileApp,2026-08-20 07:45:00
PAY10024,T5040,P1098,10.0,MobileApp,2026-08-20 16:16:00
PAY10025,T5127,P1060,50.0,ContactlessCredit,2026-08-20 16:43:00
PAY10026,T5145,P1083,50.0,Cash,2026-08-20 17:37:00
PAY10027,T5081,P1020,30.0,SmartCard,2026-08-20 16:42:00
PAY10028,T5114,P1081,25.0,Cash,2026-08-20 14:00:00
PAY10029,T5015,P1046,50.0,SmartCard,2026-08-20 16:05:00
PAY10030,T5119,P1058,10.0,SmartCard,2026-08-20 11:17:00
PAY10031,T5074,P1010,10.0,ContactlessCredit,2026-08-20 12:17:00
PAY10032,T5149,P1071,10.0,ContactlessCredit,2026-08-20 13:53:00
PAY10033,T5167,P1025,25.0,ContactlessCredit,2026-08-20 15:45:00
PAY10034,T5039,P1008,30.0,SmartCard,2026-08-20 14:33:00
PAY10035,T5183,P1011,50.0,MobileApp,2026-08-20 11:51:00
PAY10036,T5064,P1091,30.0,ContactlessCredit,2026-08-20 06:40:00
