trip_id,bus_id,route_id,driver_id,start_time,end_time,passenger_count
T6001,B107,R5,D3,2026-08-21 12:53:00,2026-08-21 14:01:00,24
T6002,B103,R3,D7,2026-08-21 10:14:00,2026-08-21 10:51:00,43
T6003,B103,R5,D8,2026-08-21 17:40:00,2026-08-21 19:08:00,22
T6004,B112,R4,D4,2026-08-21 13:11:00,2026-08-21 13:58:00,19
T6005,B119,R3,D2,2026-08-21 13:52:00,2026-08-21 14:34:00,43
T6006,B116,R3,D7,2026-08-21 17:33:00,2026-08-21 18:04:00,12
T6007,B114,R2,D6,2026-08-21 10:35:00,2026-08-21 10:55:00,44
T6008,B117,R2,D10,2026-08-21 07:22:00,2026-08-21 08:41:00,39
T6009,B105,R2,D3,2026-08-21 06:52:00,2026-08-21 07:57:00,38
T6010,B117,R2,D1,2026-08-21 16:09:00,2026-08-21 16:51:00,17
T6011,B116,R4,D2,2026-08-21 06:23:00,2026-08-21 07:04:00,37
T6012,B105,R3,D10,2026-08-21 16:47:00,2026-08-21 17:18:00,10
T6013,B105,R5,D7,2026-08-21 12:30:00,2026-08-21 13:32:00,22
T6014,B115,R3,D9,2026-08-21 06:56:00,2026-08-21 07:43:00,35
T6015,B116,R1,D3,2026-08-21 08:09:00,2026-08-21 09:14:00,48
T6016,B104,R1,D2,2026-08-21 08:34:00,2026-08-21 09:46:00,19
T6017,B106,R4,D3,2026-08-21 11:03:00,2026-08-21 11:45:00,23
T6018,B116,R2,D5,2026-08-21 15:34:00,2026-08-21 16:34:00,17
T6019,B103,R5,D5,2026-08-21 12:10:00,2026-08-21 12:53:00,10
T6020,B111,R2,D7,2026-08-21 15:59:00,2026-08-21 16:25:00,35
T6021,B113,R4,D6,2026-08-21 11:44:00,2026-08-21 12:55:00,44
T6022,B102,R3,D7,2026-08-21 07:34:00,2026-08-21 08:17:00,38
T6023,B108,R3,D2,2026-08-21 09:55:00,2026-08-21 10:54:00,30
T6024,B113,R3,D8,2026-08-21 09:43:00,2026-08-21 10:34:00,15
T6025,B109,R1,D9,2026-08-21 13:28:00,2026-08-21 14:41:00,28
T6026,B116,R5,D3,2026-08-21 17:41:00,2026-08-21 18:42:00,26
T6027,B114,R5,D3,2026-08-21 13:21:00,2026-08-21 14:18:00,28
T6028,B107,R4,D6,2026-08-21 12:28:00,2026-08-21 13:44:00,22
T6029,B112,R3,D4,2026-08-21 11:53:00,2026-08-21 12:13:00,20
T6030,B114,R2,D7,2026-08-21 16:55:00,2026-08-21 17:48:00,32
T6031,B101,R1,D9,2026-08-21 17:12:00,2026-08-21 18:23:00,44
T6032,B117,R3,D3,2026-08-21 09:27:00,2026-08-21 09:47:00,42
T6033,B109,R4,D8,2026-08-21 13:34:00,2026-08-21 14:20:00,45
T6034,B107,R1,D2,2026-08-21 15:03:00,2026-08-21 15:59:00,29
T6035,B102,R4,D5,2026-08-21 07:17:00,2026-08-21 07:41:00,33
T6036,B107,R1,D7,2026-08-21 15:30:00,2026-08-21 16:27:00,35
T6037,B115,R3,D3,2026-08-21 08:56:00,2026-08-21 09:49:00,18
T6038,B114,R5,D3,2026-08-21 13:37:00,2026-08-21 14:46:00,33
T6039,B109,R4,D10,2026-08-21 10:16:00,2026-08-21 11:02:00,34
T6040,B119,R4,D3,2026-08-21 09:08:00,2026-08-21 10:29:00,14
T6041,B115,R5,D1,2026-08-21 15:04:00,2026-08-21 15:54:00,17
T6042,B103,R3,D1,2026-08-21 11:37:00,2026-08-21 13:00:00,46
T6043,B109,R1,D10,2026-08-21 17:36:00,2026-08-21 19:04:00,30
T6044,B106,R2,D10,2026-08-21 13:03:00,2026-08-21 13:56:00,13
T6045,B102,R3,D9,2026-08-21 12:46:00,2026-08-21 13:10:00,24
T6046,B106,R4,D1,2026-08-21 15:28:00,2026-08-21 16:25:00,36
T6047,B104,R4,D3,2026-08-21 09:55:00,2026-08-21 10:39:00,27
T6048,B103,R5,D4,2026-08-21 10:42:00,2026-08-21 11:48:00,45
T6049,B118,R1,D2,2026-08-21 08:57:00,2026-08-21 10:02:00,18
T6050,B118,R1,D1,2026-08-21 08:20:00,2026-08-21 08:59:00,42
T6051,B106,R3,D4,2026-08-21 17:02:00,2026-08-21 18:10:00,49
T6052,B111,R1,D6,2026-08-21 16:22:00,2026-08-21 17:02:00,50
T6053,B110,R2,D2,2026-08-21 13:26:00,2026-08-21 14:10:00,19
T6054,B101,R2,D7,2026-08-21 14:28:00,2026-08-21 15:54:00,16
T6055,B120,R1,D3,2026-08-21 10:01:00,2026-08-21 11:17:00,20
T6056,B109,R3,D10,2026-08-21 13:34:00,2026-08-21 14:41:00,12
T6057,B101,R3,D3,2026-08-21 15:58:00,2026-08-21 17:08:00,18
T6058,B118,R3,D5,2026-08-21 06:11:00,2026-08-21 07:07:00,17
T6059,B103,R1,D6,2026-08-21 14:24:00,2026-08-21 15:38:00,20
T6060,B111,R3,D1,2026-08-21 16:21:00,2026-08-21 17:21:00,34
T6061,B118,R2,D1,2026-08-21 10:37:00,2026-08-21 11:26:00,28
T6062,B117,R2,D3,2026-08-21 12:49:00,2026-08-21 14:02:00,43
